x,q1,q2,q3
0.478478,0.535230,0.633391,2.033088
0.479479,0.535230,0.633391,2.033088
0.480480,0.532694,0.631465,2.027856
0.481481,0.532694,0.631465,2.027856
0.482482,0.530166,0.629519,2.022621
0.483483,0.530166,0.629519,2.022621
0.484484,0.527647,0.627551,2.017384
0.485485,0.527647,0.627551,2.017384
0.486486,0.525137,0.625563,2.012143
0.487487,0.525137,0.625563,2.012143
0.488488,0.522636,0.623553,2.006900
0.489489,0.522636,0.623553,2.006900
0.490490,0.520143,0.621523,2.001653
0.491491,0.520143,0.621523,2.001653
0.492492,0.517660,0.619471,1.996402
0.493493,0.517660,0.619471,1.996402
0.494494,0.515184,0.617397,1.991148
0.495495,0.515184,0.617397,1.991148
0.496496,0.512718,0.615301,1.985890
0.497497,0.512718,0.615301,1.985890
0.498498,0.510260,0.613183,1.980628
0.499499,0.510260,0.613183,1.980628
0.500501,0.507810,0.611043,1.975362
0.501502,0.507810,0.611043,1.975362
0.502503,0.505368,0.608881,1.970092
0.503504,0.505368,0.608881,1.970092
0.504505,0.502935,0.606696,1.964816
0.505506,0.502935,0.606696,1.964816
0.506507,0.500510,0.604488,1.959536
0.507508,0.500510,0.604488,1.959536
0.508509,0.498093,0.602257,1.954250
0.509510,0.498093,0.602257,1.954250
0.510511,0.495683,0.600003,1.948959
0.511512,0.495683,0.600003,1.948959
0.512513,0.493281,0.597725,1.943662
0.513514,0.493281,0.597725,1.943662
0.514515,0.490887,0.595424,1.938359
0.515516,0.490887,0.595424,1.938359
0.516517,0.488500,0.593099,1.933050
0.517518,0.488500,0.593099,1.933050
0.518519,0.486120,0.590750,1.927733
0.519520,0.486120,0.590750,1.927733
0.520521,0.483748,0.588376,1.922410
0.521522,0.483748,0.588376,1.922410
0.522523,0.481382,0.585979,1.917079
0.523524,0.481382,0.585979,1.917079
0.524525,0.479023,0.583556,1.911740
0.525526,0.479023,0.583556,1.911740
0.526527,0.476671,0.581109,1.906393
0.527528,0.476671,0.581109,1.906393
0.528529,0.474325,0.578636,1.901037
0.529530,0.474325,0.578636,1.901037
0.530531,0.471986,0.576138,1.895672
0.531532,0.471986,0.576138,1.895672
0.532533,0.469652,0.573615,1.890298
0.533534,0.469652,0.573615,1.890298
0.534535,0.467324,0.571066,1.884914
0.535536,0.467324,0.571066,1.884914
0.536537,0.465002,0.568491,1.879519
0.537538,0.465002,0.568491,1.879519
0.538539,0.462685,0.565890,1.874114
0.539540,0.462685,0.565890,1.874114
0.540541,0.460374,0.563263,1.868697
0.541542,0.460374,0.563263,1.868697
0.542543,0.458067,0.560609,1.863269
0.543544,0.458067,0.560609,1.863269
