x,q,v
0.020000,1.000000,100.000000
0.120025,1.000000,100.000000
0.220050,1.000000,100.000000
0.320075,1.000000,100.000000
0.420100,1.000000,100.000000
0.520125,1.000000,100.000000
0.620150,1.000000,100.000000
0.720175,1.000000,100.000000
0.820200,1.000000,100.000000
0.920225,1.000000,100.000000
1.020250,1.000000,100.000000
1.120275,1.000000,100.000000
1.220300,1.000000,100.000000
1.320325,1.000000,100.000000
1.420350,1.000000,100.000000
1.520375,1.000000,100.000000
1.620400,1.000000,100.000000
1.720425,1.000000,100.000000
1.820450,1.000000,100.000000
1.920475,1.000000,100.000000
2.020500,1.000000,100.000000
2.120525,1.000000,100.000000
2.220550,1.000000,100.000000
2.320575,1.000000,100.000000
2.420600,1.000000,100.000000
2.520625,1.000000,100.000000
2.620650,1.000000,100.000000
2.720675,1.000000,100.000000
2.820700,1.000000,100.000000
2.920725,1.000000,100.000000
3.020750,1.000000,100.000000
3.120775,1.000000,100.000000
3.220800,1.000000,100.000000
3.320825,1.000000,100.000000
3.420850,1.000000,100.000000
3.520875,1.000000,100.000000
3.620900,1.000000,100.000000
3.720925,1.000000,100.000000
3.820950,1.000000,100.000000
3.920975,1.000000,100.000000
4.021000,1.000000,100.000000
4.121025,1.000000,100.000000
4.221050,1.000000,100.000000
4.321075,1.000000,100.000000
4.421100,1.000000,100.000000
4.521125,1.000000,100.000000
4.621150,1.000000,100.000000
4.721175,1.000000,100.000000
4.821200,1.000000,100.000000
4.921225,1.000000,100.000000
5.021250,1.000000,100.000000
5.121275,1.000000,100.000000
5.221300,1.000000,100.000000
5.321325,1.000000,100.000000
5.421350,1.000000,100.000000
5.521375,1.000000,100.000000
5.621400,1.000000,100.000000
5.721425,1.000000,100.000000
5.821450,1.000000,100.000000
5.921475,1.000000,100.000000
6.021500,1.000000,100.000000
6.121525,1.000000,100.000000
6.221550,1.000000,100.000000
6.321575,1.000000,100.000000
6.421600,1.000000,100.000000
6.521625,1.000000,100.000000
6.621650,1.000000,100.000000
6.721675,1.000000,100.000000
6.821700,1.000000,100.000000
6.921725,1.000000,100.000000
7.021750,1.000000,100.000000
7.121775,1.000000,100.000000
7.221800,1.000000,100.000000
7.321825,1.000000,100.000000
7.421850,1.000000,100.000000
7.521875,1.000000,100.000000
7.621900,1.000000,100.000000
7.721925,1.000000,100.000000
7.821950,1.000000,100.000000
7.921975,1.000000,100.000000
8.022001,1.000000,100.000000
8.122026,1.000000,100.000000
8.222051,1.000000,100.000000
8.322076,1.000000,100.000000
8.422101,1.000000,100.000000
8.522126,1.000000,100.000000
8.622151,1.000000,100.000000
8.722176,1.000000,100.000000
8.822201,1.000000,100.000000
8.922226,1.000000,100.000000
9.022251,1.000000,100.000000
9.122276,1.000000,100.000000
9.222301,1.000000,100.000000
9.322326,1.000000,100.000000
9.422351,1.000000,100.000000
9.522376,1.000000,100.000000
9.622401,1.000000,100.000000
9.722426,1.000000,100.000000
9.822451,1.000000,100.000000
9.922476,1.050000,100.000000
10.022501,0.550000,100.000000
10.122526,0.500000,100.000000
10.222551,0.500000,100.000000
10.322576,0.500000,100.000000
10.422601,0.500000,100.000000
10.522626,0.500000,100.000000
10.622651,0.500000,100.000000
10.722676,0.500000,100.000000
10.822701,0.500000,100.000000
10.922726,0.500000,100.000000
11.022751,0.500000,100.000000
11.122776,0.500000,100.000000
11.222801,0.500000,100.000000
11.322826,0.500000,100.000000
11.422851,0.500000,100.000000
11.522876,0.500000,100.000000
11.622901,0.500000,100.000000
11.722926,0.500000,100.000000
11.822951,0.500000,100.000000
11.922976,0.500000,100.000000
12.023001,0.500000,100.000000
12.123026,0.500000,100.000000
12.223051,0.500000,100.000000
12.323076,0.500000,100.000000
12.423101,0.500000,100.000000
12.523126,0.500000,100.000000
12.623151,0.500000,100.000000
12.723176,0.500000,100.000000
12.823201,0.500000,100.000000
12.923226,0.500000,100.000000
13.023251,0.500000,100.000000
13.123276,0.500000,100.000000
13.223301,0.500000,100.000000
13.323326,0.500000,100.000000
13.423351,0.500000,100.000000
13.523376,0.500000,100.000000
13.623401,0.500000,100.000000
13.723426,0.500000,100.000000
13.823451,0.500000,100.000000
13.923476,0.500000,100.000000
14.023501,0.500000,100.000000
14.123526,0.500000,100.000000
14.223551,0.500000,100.000000
